FirstStage, RootNode, c, 0:0, 0.0
FirstStage, RootNode, c, 1:0, 0.0
FirstStage, RootNode, c, 10:0, 0.0
FirstStage, RootNode, c, 11:0, 0.0
FirstStage, RootNode, c, 12:0, 0.0
FirstStage, RootNode, c, 13:0, 0.0
FirstStage, RootNode, c, 14:0, 0.0
FirstStage, RootNode, c, 15:0, 0.0
FirstStage, RootNode, c, 16:0, 0.0
FirstStage, RootNode, c, 17:0, 0.0
FirstStage, RootNode, c, 18:0, 0.0
FirstStage, RootNode, c, 19:0, 0.0
FirstStage, RootNode, c, 2:0, 0.0
FirstStage, RootNode, c, 20:0, 0.0
FirstStage, RootNode, c, 21:0, 0.0
FirstStage, RootNode, c, 22:0, 0.0
FirstStage, RootNode, c, 23:0, 0.0
FirstStage, RootNode, c, 3:0, 0.0
FirstStage, RootNode, c, 4:0, 84.2105263158
FirstStage, RootNode, c, 5:0, 0.0
FirstStage, RootNode, c, 6:0, 0.0
FirstStage, RootNode, c, 7:0, 0.0
FirstStage, RootNode, c, 8:0, 0.0
FirstStage, RootNode, c, 9:0, 0.0
FirstStage, RootNode, d, 0:0, 0.0
FirstStage, RootNode, d, 1:0, 0.0
FirstStage, RootNode, d, 10:0, 0.0
FirstStage, RootNode, d, 11:0, 0.0
FirstStage, RootNode, d, 12:0, 0.0
FirstStage, RootNode, d, 13:0, 0.0
FirstStage, RootNode, d, 14:0, 0.0
FirstStage, RootNode, d, 15:0, 0.0
FirstStage, RootNode, d, 16:0, 0.0
FirstStage, RootNode, d, 17:0, 0.0
FirstStage, RootNode, d, 18:0, 80.0
FirstStage, RootNode, d, 19:0, 0.0
FirstStage, RootNode, d, 2:0, 0.0
FirstStage, RootNode, d, 20:0, 0.0
FirstStage, RootNode, d, 21:0, 0.0
FirstStage, RootNode, d, 22:0, 0.0
FirstStage, RootNode, d, 23:0, 0.0
FirstStage, RootNode, d, 3:0, 0.0
FirstStage, RootNode, d, 4:0, 0.0
FirstStage, RootNode, d, 5:0, 0.0
FirstStage, RootNode, d, 6:0, 0.0
FirstStage, RootNode, d, 7:0, 0.0
FirstStage, RootNode, d, 8:0, 0.0
FirstStage, RootNode, d, 9:0, 0.0
FirstStage, RootNode, l_act, 0, 40561.6533521
FirstStage, RootNode, l_act, 1, 33602.4235596
FirstStage, RootNode, l_act, 10, 49328.1472044
FirstStage, RootNode, l_act, 11, 52541.2121877
FirstStage, RootNode, l_act, 12, 58904.2197319
FirstStage, RootNode, l_act, 13, 52705.8252456
FirstStage, RootNode, l_act, 14, 50576.3153404
FirstStage, RootNode, l_act, 15, 56852.3556153
FirstStage, RootNode, l_act, 16, 74305.118154
FirstStage, RootNode, l_act, 17, 97721.4649534
FirstStage, RootNode, l_act, 18, 84941.6173033
FirstStage, RootNode, l_act, 19, 84237.3265614
FirstStage, RootNode, l_act, 2, 32787.5284406
FirstStage, RootNode, l_act, 20, 75058.9766261
FirstStage, RootNode, l_act, 21, 70232.3727274
FirstStage, RootNode, l_act, 22, 56093.4588714
FirstStage, RootNode, l_act, 23, 41404.5243518
FirstStage, RootNode, l_act, 3, 30623.8155566
FirstStage, RootNode, l_act, 4, 35727.7696092
